                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2014


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.7   14.4  11:45   11.5  03:25    5.6    0.0    0.0    0.8    3.9  02:10     67
 02   12.3   17.0  14:15    8.6  06:25    6.0    0.0    0.0    1.4    5.3  22:20     67
 03   13.2   17.2  13:40   10.8  23:45    5.2    0.0    0.0    3.6    6.9  09:45     68
 04   12.3   17.6  12:30    9.2  05:05    6.1    0.0    0.0    2.6    6.8  15:35     68
 05   10.9   14.4  12:25    7.7  00:00    7.4    0.0    0.0    1.3    4.4  14:15     68
 06   10.2   14.8  13:35    6.5  04:55    8.1    0.0    0.0    1.6    4.5  13:50     67
 07   11.6   15.8  14:30    8.6  22:30    6.7    0.0    0.0    2.6    6.5  14:55     67
 08    9.8   13.5  13:05    6.5  23:30    8.5    0.0   26.4    1.9    5.6  13:50     90
 09    8.7   12.8  11:55    3.9  05:05    9.6    0.0    0.0    0.8    3.5  12:35    122
 10   11.1   17.3  13:10    7.0  03:10    7.2    0.0    0.0    1.3    2.9  02:40    289
 11   11.1   17.3  12:55    6.6  06:50    7.2    0.0   30.7    1.9    7.7  12:35    341
 12   11.9   14.9  13:30    9.9  01:40    6.4    0.0    0.0    2.2    9.5  22:20      3
 13   12.6   17.7  14:10    9.5  23:45    5.7    0.0    1.3    1.3    6.9  00:30    350
 14   10.8   14.3  14:00    9.1  01:15    7.6    0.0    3.0    2.2    7.5  23:10    226
 15   10.1   14.1  14:15    7.2  04:35    8.2    0.0    0.0    2.7    6.8  23:20    238
 16   10.5   14.4  14:30    7.7  01:45    7.8    0.0    1.0    4.2    9.4  14:35    268
 17   10.6   15.1  15:00    7.7  07:15    7.7    0.0    0.0    2.7    5.8  04:30    247
 18   10.8   14.0  13:40    7.6  22:20    7.5    0.0    0.0    0.8    3.4  11:35    256
 19    8.7   12.5  12:10    4.9  07:55    9.7    0.0    0.0    1.5    6.8  00:00    346
 20   11.7   16.9  13:30    8.8  07:25    6.6    0.0    0.0    4.1   13.3  01:35    320
 21   11.0   15.8  15:20    7.9  23:55    7.3    0.0    0.0    0.8    3.6  15:40    343
 22   10.5   14.8  12:45    6.1  05:25    7.8    0.0    0.0    1.4    5.4  15:55    334
 23   10.0   13.8  11:25    5.3  22:35    8.4    0.0    1.0    6.7   13.2  12:05    293
 24    8.3   11.7  14:05    4.9  02:45   10.0    0.0    4.3    8.6   22.5  13:15    270
 25   10.5   13.9  14:05    8.1  05:40    7.8    0.0    2.0    6.9   19.2  23:35    272
 26   11.0   13.9  12:55    8.0  20:55    7.3    0.0    0.0    6.7   17.7  00:05    273
 27   11.2   13.9  12:55    8.9  00:00    7.1    0.0    0.0    6.6   15.4  18:40    326
 28    8.9   11.7  12:25    6.8  00:00    9.4    0.0    3.0    7.2   12.8  16:10    293
 29    7.4   10.3  13:45    4.3  23:55   10.9    0.0    8.6    4.8    9.8  06:35    256
 30    7.5   11.0  14:00    4.2  00:35   10.8    0.0    0.0    4.5   11.7  11:15    262
---------------------------------------------------------------------------------------
      10.6   17.7     13    3.9     09  231.8    0.0   81.5    3.2   22.5     24    295
    

