                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2014


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.3   11.7  13:45    6.0  02:25    9.0    0.0    0.0    3.0    6.9  12:45    263
 02   10.8   14.9  12:35    7.5  00:00    7.5    0.0    0.0    2.4    5.9  12:55    268
 03    9.0   14.0  12:45    5.2  05:15    9.3    0.0    0.0    2.4   10.0  19:20    327
 04    9.6   12.5  12:30    6.4  08:00    8.7    0.0    0.0    4.6   10.3  17:20    315
 05   10.2   13.1  13:00    8.7  07:30    8.2    0.0    0.0    5.6    9.4  12:10    270
 06    9.6   12.4  13:30    8.0  08:05    8.7    0.0    0.0    N/A    N/A    N/A     90
 07    9.4   14.0  12:35    5.2  08:05    8.9    0.0    0.0    N/A    N/A    N/A     90
 08   11.3   14.3  12:00    8.8  01:20    7.0    0.0    0.0    N/A    N/A    N/A     90
 09    8.2   10.1  00:30    5.9  23:40   10.2    0.0    2.0    0.0    0.4  20:30     22
 10    8.0   12.4  13:45    5.7  01:40   10.4    0.0    2.0    0.0    0.0  00:05     90
 11    9.8   12.8  14:50    6.9  00:20    8.6    0.0    3.3    0.0    0.0  00:05     90
 12    6.5   10.4  13:20    3.8  20:25   11.8    0.0    0.8    0.0    0.0  00:05     90
 13    7.4   13.1  13:00    3.4  06:05   10.9    0.0    9.9    0.6    3.8  22:15    263
 14    8.2   11.5  15:35    5.7  06:20   10.1    0.0    0.0    1.3    3.8  12:45    353
 15    9.0   10.1  11:40    7.6  01:15    9.3    0.0    0.0    3.2    7.9  06:20    338
 16   10.1   12.5  14:40    8.7  04:20    8.2    0.0    0.0    4.3   10.1  15:25    301
 17    6.9   10.3  00:05    3.7  23:35   11.4    0.0    2.0    6.5   12.2  12:45    274
 18    6.8    9.9  15:45    3.7  00:45   11.5    0.0    0.0    4.0   10.7  13:20    234
 19    8.4   11.0  13:25    5.5  23:55   10.0    0.0    0.0    1.8    4.6  10:55    241
 20    7.8   11.7  14:15    4.1  03:25   10.5    0.0    0.0    1.3    3.9  05:40    276
 21    7.3   12.0  13:40    4.4  06:05   11.0    0.0    0.0    1.3    3.0  13:45    269
 22    5.3    8.8  14:00    3.0  05:40   13.0    0.0    0.0    1.2    2.8  12:25    257
 23    6.8   12.1  15:20    2.4  04:20   11.5    0.0    0.0    1.1    2.8  15:10    347
 24   10.3   13.6  12:50    6.4  00:05    8.1    0.0    0.0    2.6    6.8  21:50     19
 25   11.2   14.5  14:35    9.1  07:15    7.1    0.0    0.0    3.7   10.5  11:20    308
 26   11.1   13.8  12:30    8.2  23:30    7.2    0.0    0.0    4.3    9.2  08:55    266
 27   10.2   14.0  13:25    5.6  04:50    8.2    0.0    0.0    3.3   10.9  12:30    295
 28   12.2   16.3  13:30    8.1  07:15    6.1    0.0    0.0    5.9   12.4  14:05    303
 29   12.7   14.8  12:45   10.7  07:05    5.7    0.0    0.0   10.4   18.3  06:55    285
 30   13.6   16.6  11:50   10.7  06:55    4.7    0.0    0.0    6.8   13.9  19:45    291
 31   10.7   16.2  14:15    5.0  00:00    7.6    0.0    9.7   10.0   19.0  10:35    288
---------------------------------------------------------------------------------------
       9.3   16.6     30    2.4     23  280.5    0.0   29.7    3.4   19.0     31    288
    

