                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2014


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    4.8    7.6  14:55    3.3  21:30   13.5    0.0    2.0    7.5   16.6  07:45    274
 02    5.3   10.5  13:45    2.0  23:00   13.0    0.0    0.0    2.0    7.3  00:55    260
 03    5.3   11.2  13:05    1.0  05:55   13.1    0.0    0.0    2.1    5.4  14:25    274
 04    6.2   11.9  15:25    1.4  05:40   12.1    0.0    0.0    2.3    5.7  10:35    271
 05   10.6   14.4  14:00    6.3  00:10    7.8    0.0    0.0    3.0    6.8  10:35    267
 06   10.6   13.8  14:35    8.2  04:15    7.7    0.0   28.7    2.9    7.8  13:10    277
 07   10.7   13.8  15:25    8.4  04:55    7.6    0.0    0.0    3.4    7.1  08:55    268
 08   10.3   13.5  14:05    6.0  23:25    8.1    0.0    0.0    1.7    5.9  11:00    285
 09   11.2   15.2  14:05    5.9  00:15    7.1    0.0    0.0    4.9   12.2  08:45    308
 10    7.4   11.6  00:05    3.4  21:15   10.9    0.0    1.0    4.0   10.3  14:10    242
 11    5.5    9.5  15:00    2.6  06:40   12.9    0.0    3.3    2.0    6.6  00:10    212
 12    6.9    9.5  13:25    4.7  00:35   11.5    0.0    2.0    1.1    2.6  23:50    239
 13    8.7   12.3  14:25    6.4  02:20    9.6    0.0    0.0    1.5    4.9  13:45    177
 14    8.9   12.5  13:55    5.2  00:00    9.4    0.0    0.0    0.8    3.4  11:05    126
 15    8.2   14.9  13:55    3.3  05:55   10.1    0.0    0.0    1.3    4.3  16:05    212
 16    8.1   11.8  13:10    4.5  03:55   10.2    0.0    0.0    1.4    4.7  13:25    128
 17    9.4   13.1  13:00    7.6  03:30    8.9    0.0    0.0    2.4    6.9  12:00    149
 18    8.6   10.1  12:30    6.9  01:30    9.7    0.0    8.4    2.4    5.8  08:25    146
 19    9.1   11.6  14:35    8.0  05:40    9.2    0.0    1.0    2.1    4.7  16:15    139
 20    8.9   11.8  13:05    6.3  23:55    9.4    0.0    0.0    1.2    4.2  11:10    145
 21    9.3   15.2  15:40    4.8  06:05    9.1    0.0    0.0    1.1    3.3  15:20      9
 22   12.0   18.2  13:55    8.0  06:50    6.4    0.0    0.0    1.6    2.7  15:30    330
 23   13.1   19.3  13:35    8.5  06:35    5.2    0.0   44.4    3.2    6.5  19:35    346
 24   11.2   14.5  12:20    8.4  07:05    7.2    0.0    0.0    3.6    7.9  20:00    271
 25   10.4   12.5  11:00    9.2  00:40    7.9    0.0    4.3    2.8    5.9  11:40    159
 26   11.0   15.1  15:20    8.4  23:50    7.4    0.0   48.8    1.7    4.2  00:55    147
 27   11.7   17.5  13:15    8.0  06:55    6.6    0.0    0.0    1.7    4.8  13:40    185
 28   11.8   19.0  14:20    6.3  06:45    6.5    0.0    0.0    1.3    4.9  15:30    253
 29    9.7   13.9  15:00    5.9  07:20    8.6    0.0    0.0    1.2    3.8  17:10    168
 30   12.8   19.1  15:10    8.8  08:10    5.5    0.0    0.0    1.1    6.0  23:10    275
 31   15.5   20.1  12:20   11.3  05:45    2.9    0.0    0.0    4.0    8.9  11:55    332
---------------------------------------------------------------------------------------
       9.5   20.1     31    1.0     03  275.1    0.0  144.0    2.4   16.6     01    258
    

