                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2014


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.5   17.5  00:05    7.2  00:00    5.8    0.0    7.4    6.0   14.4  14:25    247
 02   11.0   16.1  13:55    6.5  05:45    7.4    0.0    0.0    3.9    9.8  11:50    238
 03   14.0   24.6  16:50    4.4  06:30    4.3    0.0    0.0    1.4    4.8  18:00    100
 04   19.3   30.6  16:35   11.9  05:30    0.0    0.9    0.0    4.0   10.5  20:50    293
 05   13.5   20.1  14:50    9.4  04:25    4.9    0.0    0.0    3.2    7.3  08:20    196
 06   14.7   25.0  16:30    7.4  03:50    3.6    0.0    0.0    1.6    6.8  18:15    229
 07   23.1   32.7  15:35   10.6  03:10    0.0    4.8    0.0    2.3    6.6  08:30    317
 08   23.8   36.0  14:50   12.9  00:00    0.0    5.5    0.0    4.6   12.9  09:40    293
 09   14.7   20.7  16:50   10.3  05:50    3.6    0.0    0.0    2.5    7.0  14:05    144
 10   14.4   21.8  15:45    8.1  05:45    3.9    0.0    0.0    2.8    9.1  13:15    193
 11   13.4   19.1  16:50    9.0  23:55    4.9    0.0    0.0    2.6    7.9  10:30    138
 12   16.6   27.4  15:35    7.0  03:15    1.7    0.0    0.0    1.4    7.2  16:10    122
 13   23.6   34.8  16:40   11.8  04:15    0.0    5.2    0.0    1.6    5.6  00:00    302
 14   19.7   26.7  02:30   11.5  00:00    0.0    1.3    0.0    3.8    9.0  08:25    180
 15   13.5   18.8  14:30    9.4  06:20    4.8    0.0    4.3    2.0    5.6  14:00    127
 16   12.9   20.0  17:05   10.0  05:55    5.5    0.0   17.8    3.0    8.5  09:05    220
 17   14.6   21.1  17:35   10.9  05:40    3.7    0.0    0.0    3.9    8.8  16:00    249
 18   14.2   22.5  17:05    7.2  04:35    4.1    0.0    0.0    2.0    5.6  15:55    212
 19   20.7   30.6  17:05   11.7  05:55    0.0    2.3    0.0    2.0    7.1  15:15    304
 20   23.1   30.7  13:10   18.8  00:00    0.0    4.8    0.0    5.1    8.9  05:30    318
 21   18.1   25.7  16:50   13.4  00:00    0.2    0.0    0.0    2.6    5.9  11:35    196
 22   20.7   31.7  16:55   11.2  03:25    0.0    2.4    0.0    2.8    8.7  19:05    312
 23   19.9   27.6  13:30   14.3  06:10    0.0    1.6    0.0    1.8    5.5  17:35    177
 24   15.4   19.4  08:10   10.4  23:45    3.0    0.0    8.4    2.4    8.3  08:05    242
 25   14.7   21.6  17:10    8.7  05:45    3.7    0.0    0.0    3.8    8.8  17:40    248
 26   13.0   19.5  14:35    8.5  03:50    5.4    0.0    3.3    1.5    4.9  11:45    176
 27   13.8   19.6  16:50    9.8  02:50    4.5    0.0    0.0    3.1    6.8  17:50    138
 28   15.4   22.5  17:00   10.8  00:15    2.9    0.0    0.0    2.9    5.5  13:15    138
 29   17.6   26.7  15:20   11.7  06:40    0.7    0.0    0.0    1.4    3.2  18:40    151
 30   24.4   35.7  15:10   14.1  01:35    0.0    6.1    0.0    3.1    5.6  16:05    130
---------------------------------------------------------------------------------------
      16.9   36.0     08    4.4     03   78.8   34.9   41.1    2.8   14.4     01    232
    

