                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2015


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.8   28.4  17:20   11.6  06:20    0.0    0.5    0.0    1.5    7.9  18:00    122
 02   27.3   38.5  17:15   15.6  06:20    0.0    8.9    0.0    1.9    7.7  23:40    330
 03   29.2   38.5  14:45   20.2  23:35    0.0   10.9    1.0    6.9   14.4  03:35    319
 04   19.2   24.1  03:05   12.8  23:55    0.0    0.8    0.0    3.5   10.9  01:50    165
 05   17.4   24.5  17:05   12.3  01:10    1.0    0.0    0.0    2.0    7.9  18:10    133
 06   20.9   28.5  15:15   13.6  00:20    0.0    2.5    0.0    1.7    7.9  17:00    148
 07   27.7   39.3  17:20   16.1  05:35    0.0    9.4    1.0    2.2   10.0  19:40    301
 08   22.9   29.3  13:00   18.8  00:00    0.0    4.6    4.3    1.9   11.0  13:30    264
 09   14.6   18.6  00:05   11.7  19:55    3.7    0.0   23.4    2.3    6.3  19:25    135
 10   15.1   18.4  17:20   12.1  00:20    3.3    0.0    1.0    1.3    5.8  16:40    144
 11   18.4   22.3  15:45   15.2  00:05    0.0    0.0    0.0    3.6    8.7  16:30    132
 12   22.2   29.6  17:15   14.5  06:25    0.0    3.9    0.0    2.0    6.6  16:20    135
 13   20.7   26.9  17:45   17.9  10:40    0.0    2.4    1.0    2.4    9.8  19:05    325
 14   18.0   21.1  12:55   14.7  23:55    0.4    0.0    0.0    5.1   11.6  14:05    245
 15   16.0   20.6  16:00   13.2  06:55    2.4    0.0    0.0    2.6    6.8  13:30    232
 16   18.2   26.6  17:30    9.7  06:20    0.2    0.0    0.0    3.7   10.7  16:10    267
 17   18.2   24.1  17:10   13.5  05:45    0.1    0.0    0.0    4.8   12.1  10:50    247
 18   15.2   19.9  15:10   11.6  00:00    3.2    0.0    0.0    3.0    7.7  04:20    192
 19   15.7   21.8  17:35   10.8  01:40    2.7    0.0    0.0    2.5    7.8  10:35    124
 20   20.4   28.7  18:50   10.7  03:00    0.0    2.0    0.0    2.0    6.0  14:40    340
 21   25.4   34.3  15:25   18.6  03:25    0.0    7.1    0.0    1.5    9.5  17:55    246
 22   23.2   35.3  17:00   16.4  06:35    0.0    4.9    0.0    1.8    7.8  16:35    310
 23   22.5   29.9  14:20   16.0  00:00    0.0    4.1    0.0    2.7    7.8  14:45    175
 24   20.5   31.5  16:55   12.5  06:25    0.0    2.1    0.0    1.6    6.8  17:45    186
 25   15.9   20.5  15:40   11.2  23:35    2.4    0.0    0.0    3.7   10.0  05:15    239
 26   14.0   19.5  14:30    8.6  06:40    4.4    0.0    0.0    2.6    8.6  17:25    152
 27   14.1   19.6  12:45   10.2  04:25    4.2    0.0    0.0    3.0    9.4  17:20    139
 28   16.4   22.1  15:40   12.0  06:50    1.9    0.0    0.0    4.2   13.2  16:40    132
 29   15.7   21.1  16:00   10.4  06:05    2.6    0.0    0.0    4.1   12.0  17:05    128
 30   15.4   21.1  17:30   11.2  03:20    2.9    0.0    0.0    2.5    8.0  15:50    139
 31   15.7   22.4  17:00   11.3  01:40    2.6    0.0    0.0    2.5    9.6  18:15    198
---------------------------------------------------------------------------------------
      19.2   39.3     07    8.6     26   37.8   64.2   31.8    2.8   14.4     03    192
    

