                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2015


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.6   18.0  12:10   12.2  03:35    3.8    0.0    0.0    2.9    8.8  14:55    187
 02   16.3   22.4  13:40   13.1  04:35    2.0    0.0  231.4    2.8    7.8  18:10    165
 03   17.0   23.5  15:10   13.5  05:20    1.3    0.0    0.0    2.3    7.5  17:55    142
 04   15.2   19.3  17:20   12.6  08:25    3.2    0.0    0.0    3.0   10.1  14:30    160
 05   17.6   25.0  17:05   11.8  06:20    0.7    0.0    0.0    2.2    6.1  16:10    135
 06   23.8   35.5  15:50   12.8  04:55    0.0    5.5    0.0    1.3    6.6  15:05    254
 07   27.3   33.9  16:05   21.5  22:50    0.0    9.0    0.0    3.8   13.6  19:35    297
 08   21.1   26.1  03:10   14.4  00:00    0.0    2.8    0.0    3.6    8.9  03:15    202
 09   18.4   26.2  17:45   12.5  04:50    0.0    0.0    0.0    2.6    7.9  12:55    139
 10   22.9   30.9  17:20   16.9  05:50    0.0    4.6    0.0    1.7    6.5  14:35    145
 11   24.5   36.1  14:40   16.8  00:00    0.0    6.2    0.0    1.5    6.8  15:10    149
 12   18.5   24.6  17:10   15.4  00:00    0.0    0.1    0.0    2.4    6.9  16:45    130
 13   20.5   31.6  12:15   14.8  03:25    0.0    2.2    1.0    1.3    6.6  18:05    337
 14   20.9   27.2  17:20   17.8  06:30    0.0    2.6    0.0    1.2    5.8  13:55    158
 15   23.6   33.8  16:55   14.9  06:00    0.0    5.3    0.0    0.8    8.8  23:40    113
 16   20.3   26.0  00:05   15.0  07:05    0.0    1.9    0.0    3.6   10.6  01:05    212
 17   17.0   20.8  17:35   15.2  05:35    1.3    0.0    0.0    2.2    5.7  18:30    138
 18   16.8   19.8  15:45   15.1  05:45    1.5    0.0    0.0    1.8    5.5  16:35    138
 19   21.2   29.3  15:45   15.8  03:10    0.0    2.9    0.0    1.4    5.9  16:35    150
 20   20.3   27.1  17:00   16.3  06:55    0.0    2.0    0.0    1.7    6.4  14:50    139
 21   25.8   36.8  16:50   16.7  06:55    0.0    7.5    0.0    1.2    6.6  12:30    314
 22   27.7   35.5  15:20   22.3  00:00    0.0    9.3    0.0    2.2    7.8  16:55    328
 23   20.2   27.5  09:10   14.8  00:00    0.0    1.9    1.0    2.4   10.2  11:25    190
 24   15.6   19.3  14:15   12.4  07:45    2.7    0.0    0.0    3.1    9.0  13:25    142
 25   19.2   26.5  16:25   14.4  01:25    0.0    0.9    0.0    1.4    5.9  17:20    139
 26   18.9   24.9  13:55   15.4  07:15    0.0    0.6    0.0    2.1    5.8  18:45    211
 27   18.7   26.4  15:15   12.9  07:15    0.0    0.4    0.0    1.1    6.5  16:35    154
 28   22.2   32.0  17:25   15.8  04:45    0.0    3.9    0.0    2.5   20.9  19:55    311
---------------------------------------------------------------------------------------
      20.2   36.8     21   11.8     05   16.6   69.5  233.4    2.2   20.9     28    162
    

