                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2015


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.5   21.1  14:15   11.8  00:00    1.8    0.0    0.0    3.0    8.0  16:40    176
 02   16.3   24.4  17:20    8.9  07:10    2.0    0.0    0.0    0.9    4.6  10:30    107
 03   17.7   24.3  16:55   14.0  00:00    0.6    0.0    0.0    1.2    7.4  17:05    143
 04   17.6   24.7  17:25   11.7  07:20    0.7    0.0    0.0    2.8   11.4  23:40    255
 05   14.3   19.2  17:20    9.0  07:20    4.0    0.0    0.0    5.3   15.9  03:35    235
 06   15.5   21.0  15:05   11.9  01:15    2.8    0.0    0.0    5.4   13.9  08:25    246
 07   17.6   23.6  16:40   12.9  06:50    0.8    0.0    0.0    3.2    8.3  13:05    257
 08   19.1   27.8  17:05   15.5  06:15    0.0    0.8    0.0    1.4    5.9  14:35    233
 09   17.6   25.1  16:40   12.8  06:00    0.8    0.0    0.0    2.4    7.8  09:30    221
 10   16.7   24.2  16:55   13.1  00:00    1.6    0.0    0.0    1.4    5.7  18:45    129
 11   17.6   26.1  16:45   10.2  04:40    0.8    0.0    0.0    1.9    7.9  16:40    237
 12   15.3   20.7  17:10   12.2  06:15    3.0    0.0    0.0    2.7    8.3  18:15    190
 13   14.7   21.0  17:05   11.5  00:00    3.6    0.0    0.0    2.5    6.5  15:00    135
 14   17.7   28.9  15:40    8.1  06:55    0.7    0.0    0.0    3.2   11.0  15:45    266
 15   14.1   19.6  16:55   11.5  06:40    4.3    0.0    0.0    3.0   11.4  00:05    146
 16   16.7   24.7  15:55    8.8  07:25    1.6    0.0    0.0    0.9    4.4  15:10    290
 17   21.2   29.5  16:50   16.3  06:05    0.0    2.8    0.0    3.1   10.9  14:15    340
 18   19.7   24.8  14:20   15.8  07:25    0.0    1.4    1.0    2.8   10.5  00:10    270
 19   22.0   32.8  16:15   15.3  00:00    0.0    3.7    0.0    4.8   14.2  11:35    305
 20   14.3   20.1  15:35   10.5  05:30    4.0    0.0    0.0    2.6    8.1  12:45    205
 21   14.2   21.8  16:50    9.9  04:00    4.2    0.0    0.0    2.2    6.9  10:40    136
 22   18.9   30.2  16:45    9.1  05:55    0.0    0.5    0.0    2.0    6.1  12:15    342
 23   21.0   25.9  15:30   12.6  00:00    0.0    2.7    0.0    5.1   12.9  11:40    279
 24   12.2   15.6  15:40    9.6  08:45    6.2    0.0    1.3    2.8    7.5  06:05    187
 25   14.6   22.9  16:55   10.1  07:50    3.7    0.0    0.0    2.1    7.6  23:45    295
 26   11.8   17.2  15:15    8.0  05:55    6.5    0.0    0.0    7.0   16.8  16:30    271
 27   13.2   17.2  16:20   10.9  07:35    5.1    0.0    0.0    4.9   10.1  01:55    240
 28   14.2   21.5  16:55   10.6  03:45    4.2    0.0    0.0    1.8    5.6  15:40    241
 29   15.6   26.2  16:40    8.6  03:50    2.8    0.0    0.0    1.4    6.9  12:20    257
 30   16.0   26.3  16:35   10.1  07:25    2.4    0.0    0.0    0.8    6.9  17:05    142
 31   17.1   28.0  16:25   10.5  06:50    1.3    0.0    0.0    0.9    6.4  16:45    100
---------------------------------------------------------------------------------------
      16.5   32.8     19    8.0     26   69.4   11.9    2.3    2.8   16.8     26    243
    

