                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2015


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   21.8   28.0  12:30   15.1  00:50    0.0    3.5    0.0    2.1    8.0  22:35    305
 02   13.3   18.8  00:05    9.2  23:55    5.0    0.0    0.0    4.3   12.2  14:30    193
 03   12.2   18.7  16:15    8.1  04:30    6.1    0.0    0.0    2.3    7.8  13:55    139
 04   15.5   22.1  14:20   10.0  07:55    2.8    0.0    0.0    1.2    5.6  14:20    264
 05   13.3   19.1  13:35    8.8  06:30    5.0    0.0    0.0    2.3    5.8  12:00    250
 06   12.4   17.5  13:40    7.5  04:55    5.9    0.0    0.0    1.4    4.3  17:15    261
 07   11.5   15.7  11:20    9.7  00:00    6.8    0.0    8.6    2.9    8.9  12:35    197
 08   11.6   16.0  13:30    9.2  01:20    6.7    0.0    0.0    3.0    6.6  06:05    203
 09   12.9   17.1  15:25    9.9  03:25    5.4    0.0    0.0    1.8    4.4  12:25    145
 10   13.8   18.4  14:55   11.1  05:30    4.5    0.0    0.0    1.1    4.0  12:30    131
 11   15.0   22.5  14:20   10.2  06:50    3.4    0.0    0.0    1.5    3.5  20:35    148
 12   13.1   17.8  13:50    8.6  23:50    5.3    0.0    0.0    1.4    3.9  15:35    140
 13   11.9   19.1  15:00    6.2  06:40    6.5    0.0    0.0    0.8    2.9  17:40    202
 14   17.1   23.5  14:50   12.6  02:25    1.3    0.0    1.0    1.7    5.8  22:45    319
 15   20.1   26.0  13:35   16.3  23:50    0.0    1.7    0.0    3.5    8.7  00:20    321
 16   14.7   18.2  14:50   11.7  23:55    3.7    0.0    0.0    3.0    4.7  05:55    232
 17   12.5   15.3  12:50   10.3  06:05    5.8    0.0    0.0    N/A    N/A    N/A     90
 18   13.7   19.4  15:10    9.6  00:00    4.6    0.0    0.0    2.8    4.2  22:50    260
 19    8.6   12.2  15:00    6.9  06:00    9.7    0.0   15.0    2.7    6.4  08:40    204
 20    9.8   14.1  14:05    7.0  00:50    8.5    0.0    0.0    1.9    6.1  16:50    163
 21   10.7   15.6  14:30    6.4  06:55    7.6    0.0    0.0    3.0    6.2  11:35    149
 22   12.6   16.4  15:40    7.9  01:25    5.8    0.0    0.0    2.2    6.4  15:45    144
 23   13.7   15.3  13:25   11.8  06:15    4.7    0.0    0.0    1.8    4.9  02:20    129
 24   14.6   18.6  16:40   11.8  05:10    3.7    0.0    5.3    2.2    7.0  20:10    271
 25   10.7   13.7  14:40    9.6  06:45    7.6    0.0    8.4    2.4    6.6  19:45    228
 26   10.6   13.8  13:10    8.4  05:00    7.7    0.0    0.0    3.5    6.6  15:05    231
 27   11.1   14.5  13:30    9.1  07:10    7.3    0.0    0.0    2.5    4.8  15:30    226
 28   10.6   14.9  12:30    7.6  07:20    7.7    0.0    0.0    1.6    5.0  16:40    191
 29   10.9   15.1  13:35    7.7  23:30    7.4    0.0    0.0    0.7    3.4  17:50    193
 30   11.1   17.6  14:15    6.3  06:50    7.2    0.0    0.0    1.3    3.9  13:20    245
---------------------------------------------------------------------------------------
      13.1   28.0     01    6.2     13  163.7    5.2   38.4    2.1   12.2     02    209
    

