                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2015


NAME: Rowsley, Victoria, AU                  
ELEV: 276 meter    LAT: 37-42.21 S    LONG: 144-22.31 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.8   20.7  13:55    8.0  04:20    4.6    0.0    0.0    0.9    2.9  22:05    296
 02   15.9   20.8  14:25   11.6  23:55    2.4    0.0    0.0    2.4    8.9  13:45    319
 03   12.7   17.7  14:35    9.1  06:20    5.7    0.0    0.0    0.8    2.9  04:40    244
 04   14.4   20.6  14:50    8.0  05:45    3.9    0.0    0.0    1.1    8.8  22:20    298
 05   12.6   16.4  00:25    9.2  00:00    5.8    0.0    4.3    6.9   12.9  11:55    289
 06   10.6   14.7  14:30    8.3  07:10    7.7    0.0    1.0    5.4   13.8  15:00    280
 07    9.7   12.3  11:45    7.9  03:55    8.6    0.0    0.0    4.8    9.4  14:05    264
 08   11.4   13.9  14:20    8.7  01:10    6.9    0.0    0.0    5.2    9.2  08:20    271
 09   13.2   16.5  15:35   10.7  05:35    5.1    0.0    0.0    6.7   12.4  12:25    286
 10   11.9   13.4  00:40   10.4  18:45    6.5    0.0    0.0    6.7   11.4  12:10    266
 11   12.4   14.7  13:20   11.1  10:05    5.9    0.0    0.0    6.0    9.8  04:00    239
 12   10.9   14.0  12:50    5.4  00:00    7.4    0.0    0.0    5.8    5.8  16:25    248
 13    6.8   10.7  14:25    4.0  06:35   11.5    0.0    0.0    N/A    N/A    N/A     90
 14   10.6   14.5  14:45    7.6  02:40    7.7    0.0    0.0    N/A    N/A    N/A     90
 15   11.0   12.5  12:50    9.9  06:45    7.4    0.0    0.0    1.6    3.6  12:50    181
 16   11.0   14.7  15:10    8.3  00:00    7.4    0.0    0.0    0.6    2.7  09:55     92
 17   12.3   17.7  14:00    7.2  04:10    6.0    0.0    0.0    0.5    2.2  16:05    253
 18   12.3   17.8  14:00    7.4  07:25    6.0    0.0    0.0    1.1    2.5  23:25    343
 19   13.5   15.0  15:35   11.8  19:55    4.9    0.0    0.0    4.3    7.0  21:35    324
 20   12.9   15.9  13:35    9.3  23:50    5.5    0.0    0.0    4.7    8.8  10:35    270
 21    9.9   11.9  13:05    8.2  07:40    8.5    0.0    0.0    2.1    5.1  20:50    213
 22   10.2   11.8  13:40    9.1  22:05    8.2    0.0    0.0    1.8    5.6  15:35    146
 23    9.2   12.5  13:50    7.0  19:00    9.2    0.0    0.0    0.6    2.6  11:20    126
 24    8.7   14.5  14:00    3.3  08:05    9.7    0.0    0.0    N/A    N/A    N/A     90
 25   10.8   15.6  15:05    8.0  00:00    7.5    0.0    0.0    N/A    N/A    N/A     90
 26   10.2   14.3  14:05    5.8  06:45    8.1    0.0    0.0    0.8    1.8  09:20    292
 27   13.9   17.5  13:35   11.6  00:10    4.4    0.0    0.0    5.0    5.9  20:55    329
 28   14.2   18.3  12:20   10.6  00:00    4.1    0.0    0.0    5.5    8.1  16:10    305
 29   10.4   14.0  13:45    7.2  06:15    7.9    0.0    0.0    N/A    N/A    N/A     90
 30   10.9   11.3  23:00   10.4  00:00    7.4    0.0    0.0    N/A    N/A    N/A     90
 31   10.1   14.5  12:40    4.4  00:00    8.2    0.0    0.0    N/A    N/A    N/A     90
---------------------------------------------------------------------------------------
      11.6   20.8     02    3.3     24  210.1    0.0    5.3    3.6   13.8     06    273
    

